Nome,País,Posição,Idade,Clube,Foto_URL,Copas_Jogadas,Ritmo,Finalização,Passe,Drible,Defesa,Físico
Hugo Lloris,França,Goleiro,37,Los Angeles FC,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Lloris_2018_%28cropped%29.jpg/500px-Lloris_2018_%28cropped%29.jpg,4,50,25,65,60,85,65
Benjamin Pavard,França,Lateral Direito,28,Marseille,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Benjamin_Pavard_20180709.jpg/500px-Benjamin_Pavard_20180709.jpg,1,74,58,76,73,83,79
Raphaël Varane,França,Zagueiro,31,Como,https://upload.wikimedia.org/wikipedia/commons/c/cc/Rapha%C3%ABl_Varane_2018_%28cropped%29.jpg,3,79,45,64,65,85,79
Presnel Kimpembe,França,Zagueiro,28,Qatar SC,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Presnel_Kimpembe_2022.jpg/500px-Presnel_Kimpembe_2022.jpg,1,76,35,68,68,82,85
Lucas Hernández,França,Lateral Esquerdo,28,Paris Saint-Germain,https://ui-avatars.com/api/?name=Lucas+Hernández&size=500&background=0f172a&color=38bdf8,1,78,55,74,74,83,80
N'Golo Kanté,França,Volante,33,Fenerbahçe,https://upload.wikimedia.org/wikipedia/commons/0/05/N%27Golo_Kant%C3%A9_%28cropped%29.jpg,1,76,66,75,81,85,80
Paul Pogba,França,Meio-campista,31,Monaco,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Paul_Pogba_at_the_2025_Cannes_Film_Festival_02.jpg/500px-Paul_Pogba_at_the_2025_Cannes_Film_Festival_02.jpg,2,70,79,85,84,65,83
Antoine Griezmann,França,Meia Atacante,33,Atlético Madrid,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/FRA-ARG_%2810%29_%28cropped%29.jpg/500px-FRA-ARG_%2810%29_%28cropped%29.jpg,3,79,86,87,88,54,70
Kylian Mbappé,França,Atacante,25,Real Madrid,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Picture_with_Mbapp%C3%A9_%28cropped_and_rotated%29.jpg/500px-Picture_with_Mbapp%C3%A9_%28cropped_and_rotated%29.jpg,2,97,90,80,92,36,78
Kingsley Coman,França,Ponta Direita,27,Al-Nassr,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Kingsley_Coman_%282019%29_%28cropped%29.jpg/500px-Kingsley_Coman_%282019%29_%28cropped%29.jpg,1,89,76,79,87,30,60
Olivier Giroud,França,Centroavante,37,Lille,https://upload.wikimedia.org/wikipedia/commons/9/96/Olivier_Giroud_December_2024.png,3,39,83,71,70,42,80
Unai Simón,Espanha,Goleiro,26,Athletic Bilbao,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Unai_Sim%C3%B3n_2025_%28cropped%29.jpg/500px-Unai_Sim%C3%B3n_2025_%28cropped%29.jpg,1,45,20,70,65,84,68
Jesús Navas,Espanha,Lateral Direito,38,Sevilla,https://upload.wikimedia.org/wikipedia/commons/7/7e/Jes%C3%BAs_Navas.jpg,2,80,64,80,81,75,58
Aymeric Laporte,Espanha,Zagueiro,30,Athletic Bilbao,https://upload.wikimedia.org/wikipedia/commons/5/5c/Aymeric_Laporte_2023_%28cropped%29_2.jpg,1,65,50,74,69,86,79
Pau Torres,Espanha,Zagueiro,27,Aston Villa,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Pau_Torres_2023.jpg/500px-Pau_Torres_2023.jpg,1,73,35,76,72,84,78
Jordi Alba,Espanha,Lateral Esquerdo,35,Inter Miami,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Jordi_Alba_NE_Revolution_Inter_Miami_7.9.25-047_%28cropped%29.jpg/500px-Jordi_Alba_NE_Revolution_Inter_Miami_7.9.25-047_%28cropped%29.jpg,3,82,69,81,82,76,70
Rodri,Espanha,Volante,28,Manchester City,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/RODRI_-_SWE_vs_ESP_-_UEFA_EURO_2020_QUALIFIERS_-_2019.10.15_%28cropped%29.jpg/500px-RODRI_-_SWE_vs_ESP_-_UEFA_EURO_2020_QUALIFIERS_-_2019.10.15_%28cropped%29.jpg,1,58,73,86,79,85,84
Sergio Busquets,Espanha,Volante,35,Inter Miami,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Sergio_Busquets_NYCFC_Miami_24_Sep_2025-020_%28cropped%29.jpg/500px-Sergio_Busquets_NYCFC_Miami_24_Sep_2025-020_%28cropped%29.jpg,4,42,62,82,79,82,73
